
X,Y,Z,AUGT,grade_kriging
-39,276,-209,19.6864085197448,19.6864085197448
-319,436,15,17.9714884281158,17.72945508480068
-111,-28,159,33.0144238471984,29.9953248405456
49,-332,-153,12.986109137535,12.986109137535
9,292,-153,14.3178580760955,14.3178580760955
409,-68,127,11.9782893419265,11.9782893419265
41,-92,263,13.7102892637252,13.7102892637252
481,-652,-729,15.6586679697036,15.6586679697036
305,-996,-977,14.0812895774841,14.0812895774841
-263,460,271,11.947605228424,11.947605228424
-591,532,527,14.9899155139923,14.9899155139923
33,-1172,375,23.780362033844,25.733177757263164
-463,524,479,13.309322142601,13.32840131759641
65,372,143,39.551274394989,39.551274394989
-279,508,7,10.1663319826126,10.644145839214302
-343,684,535,16.6453798055648,16.6453798055648
305,676,183,18.9017386913299,18.9017386913299
337,-628,63,11.2763235092163,11.2763235092163
-487,316,119,14.3406109333038,15.951691265106149
-327,-44,127,11.8560283660888,12.263197790384245
97,916,159,16.6076558113098,17.58661116123198
593,-852,-953,13.7842781066894,13.7842781066894
241,460,167,20.6800597667694,25.832868413925148
-215,516,231,22.0403549194336,21.531119666099542
-287,-108,175,11.3842056512832,11.3842056512832
-23,196,183,10.1671018600463,10.1671018600463
-503,-172,527,10.1691941976547,10.1691941976547
449,668,215,11.6475668191909,12.703020882606438
-255,-1196,351,10.8423182487487,13.29699651002878
465,484,183,15.6119215726852,15.6119215726852
305,-1004,-689,11.6120356321334,11.6120356321334
-111,196,519,12.0399134159088,12.04236464023587
-119,-428,95,10.1911947011947,10.1911947011947
-455,524,511,36.9955616950988,36.9955616950988
-543,572,487,13.1802572727203,13.1802572727203
-231,-4,167,28.7036406040191,28.14454543876643
401,68,-361,10.6892855405807,10.6892855405807
-71,20,143,30.3116189956665,29.24734977722166
-207,-436,359,11.1423391342163,11.1423391342163
393,-700,-673,19.8462532997131,20.05682561337943
417,564,151,10.8633829832077,13.922805623054465
-119,244,215,17.5522533655166,17.48033583164208
161,412,-153,11.1280455827713,11.1280455827713
-503,316,199,18.6441019535064,18.6441019535064
-135,700,143,20.2770341873168,20.2770341873168
697,-1284,-577,13.0225737571716,13.0225737571716
-15,484,-97,18.7640182495117,18.7640182495117
-231,708,535,16.5738583087921,16.5738583087921
-103,540,183,13.59736495018,13.597364950179998
385,-1060,-913,35.5519585609436,31.979659976959205
33,468,-89,10.2073130607604,10.2073130607604
-271,324,223,19.9499729633331,18.59777472496029
-303,-4,599,11.1721318721771,11.07499203205106
-247,4,135,11.0253609895706,21.48721873760222
313,580,271,20.2828964710235,20.2828964710235
-663,-1228,399,15.5781941652297,15.5781941652297
81,732,223,13.5656726360321,13.5656726360321
-407,708,495,16.3469676017761,14.28556820154187
121,684,143,29.0857311248779,27.09390672047929
177,404,-89,15.5322503566741,15.687689311504268
-31,252,-225,12.3379541158676,13.3416654062271
-751,-1444,359,16.2110439300537,15.057892011404013
-191,-1068,519,16.3618382692337,17.157253904342625
-303,-28,55,10.5207034111022,10.5207034111022
137,-772,-961,11.1317244052886,12.517533926963718
1,-28,151,17.7679557323455,16.637556145191127
193,-1028,519,11.3941381216049,11.3941381216049
129,348,-121,17.8264302015304,16.61459241867061
-583,540,527,13.2301392555236,13.8662351226806
329,612,143,26.9496962547302,31.45082731246945
209,-68,-369,12.5943046092987,12.81857481241224
-175,476,207,15.2736649990081,15.273664999008101
-7,524,-201,10.3829409122467,11.708364238738987
-559,628,495,13.5382981777191,12.88234508037564
-151,628,151,27.2709138870239,25.32998659769691
521,484,-57,11.7650087594985,11.7650087594985
609,-980,-913,14.2701081514358,17.93739827871318
-255,220,143,15.1882938861846,17.02547238349908
121,708,183,26.8034055233001,25.3475189304351
-255,-52,-33,23.1660395622253,23.1660395622253
337,708,463,18.5993614435195,18.5993614435195
321,36,-217,15.7237068414688,15.7237068414688
-159,388,159,26.1105532169342,27.866275955835945
545,-844,-809,10.228863787651,17.06400959730142
