,X,Y,Z,AUGT
3082044,281.0,204.0,-65.0,13.551515769958494
2761867,-239.0,284.0,167.0,11.92047610282898
540906,-143.0,540.0,159.0,25.628542184829715
497979,-239.0,740.0,215.0,33.26545062065125
1963514,-111.0,-1140.0,415.0,24.404088926315307
2199015,161.0,-492.0,-481.0,29.519941997528075
842443,465.0,612.0,143.0,28.547380018234247
874503,97.0,476.0,175.0,23.67564468383789
3081898,-127.0,452.0,527.0,23.190544795989997
1301538,-311.0,388.0,175.0,40.0
3048702,-383.0,364.0,207.0,19.459959411621092
2230274,465.0,-532.0,79.0,16.95492660999298
884298,41.0,564.0,143.0,40.0
2519488,417.0,-1076.0,-969.0,10.468071365356446
3058540,-295.0,484.0,159.0,17.022443342208863
2710434,-247.0,196.0,159.0,19.646117877960208
2746138,745.0,-1276.0,-585.0,11.132062029838565
3363971,-31.0,36.0,271.0,27.583556556701666
3409211,393.0,316.0,-361.0,12.610826015472414
789800,-263.0,564.0,223.0,11.939823508262634
2738371,-55.0,740.0,-49.0,23.060289478302003
801862,137.0,684.0,191.0,22.38699603080749
205765,-855.0,-1196.0,359.0,16.612963175773622
2716326,-519.0,-1412.0,407.0,14.099315690994265
3278662,-383.0,820.0,511.0,21.108191061019895
1779116,-15.0,28.0,263.0,32.70432796478272
439978,473.0,692.0,143.0,27.51454563140869
359059,145.0,620.0,175.0,20.667173957824712
3308973,-359.0,812.0,463.0,16.123138880729677
1432036,-879.0,-1188.0,367.0,13.494264459609989
1031807,513.0,228.0,-361.0,12.265593814849856
2970450,-855.0,-1060.0,359.0,13.256291723251346
1762715,529.0,660.0,143.0,32.662100362777714
2502821,1.0,284.0,-121.0,18.998634600639342
1377229,41.0,-604.0,-441.0,26.65751667022705
3548518,-559.0,668.0,575.0,12.694013667106631
95853,193.0,-692.0,63.0,15.861809301376345
313068,41.0,956.0,143.0,10.177412843704225
1031927,-583.0,-1388.0,407.0,11.052518153190613
2468659,-31.0,396.0,247.0,40.0
3092266,649.0,-1028.0,-921.0,21.909340238571172
1102175,-87.0,524.0,-65.0,23.518563985824585
1432439,-167.0,-108.0,175.0,27.24299502372742
1079946,761.0,-1348.0,-585.0,10.622698736190797
2238318,-279.0,308.0,199.0,34.146456766128544
2849235,-111.0,-1068.0,511.0,24.12406849861145
2851491,465.0,-1124.0,-321.0,20.390158271789552
1678261,281.0,-516.0,-473.0,11.672226262092593
3591251,369.0,-1220.0,-873.0,11.608765697479251
1859158,-215.0,-44.0,255.0,33.43613910675049
2574860,369.0,284.0,-353.0,18.641145110130307
2115673,49.0,-508.0,-433.0,31.03823142051697
2640259,-247.0,-28.0,527.0,18.180042266845703
459920,89.0,292.0,143.0,40.0
2061618,-87.0,596.0,-1.0,12.675991058349615
757331,217.0,356.0,-129.0,11.773850083351135
569036,-31.0,204.0,167.0,11.772565007209778
2575407,-207.0,748.0,119.0,16.159619855880738
905489,-327.0,372.0,159.0,40.0
307579,-39.0,-260.0,-49.0,13.397952675819399
3149885,-159.0,804.0,159.0,16.719338274002077
768261,241.0,-676.0,-697.0,11.02676990032196
1359104,-15.0,324.0,175.0,10.458982372283936
3033636,-95.0,252.0,183.0,26.13706550598145
3430268,113.0,-388.0,-305.0,20.6960834980011
2299935,-95.0,-652.0,-689.0,19.080282497406007
2415044,-215.0,748.0,135.0,13.730137848854065
